Nome,Apelido,Time
Renato Marques de Oliveira Junior,Renato,America Saf-MG
Ricardo Cesar Dantas da Silva,Ricardo Silva,America Saf-MG
Robson Luiz dos Santos Nascimento,Robson,Time nao encontrado
Rodrigo Henrique Santos de Souza,Rodrigo,America Saf-MG
Rodrigo Santos Varanda,Rodrigo Varanda,America Saf-MG
Samuel Alves Barroso,SAMUEL ALVES,America Saf-MG
Severino do Ramo Clementino da Silva,Nino Paraiba,Paysandu-PA
Wanderson Santos Pereira,Wanderson,America Saf-MG
Washington Omar Aguerre Lima,Aguerre,America Saf-MG
Wellington Pereira do Nascimento,Wellington Paulista,America Saf-MG
Yago Santos de Andrade,Yago,America Saf-MG
Yago Souza de Santana,Yago,America Saf-MG
Agustin Canobbio Graviz,Canobbio,Athletico Paranaense-PR
Alex Paulo Menezes Santana,Alex Santana,Athletico Paranaense-PR
Arthur Zanella Koerich,Zanella,Athletico Paranaense-PR
Arturo Erasmo Vidal Pardo,VIDAL,Athletico Paranaense-PR
Bento Matheus Krepski,Bento,Athletico Paranaense-PR
Bruno da Silva Peres,Bruno Peres,Athletico Paranaense-PR
Bruno Zapelli,Zapelli,Athletico Paranaense-PR
Bryan Jahir Garcia Realpe,Bryan Garcia,Time nao encontrado
Carlos de Menezes Junior,Cacá,Athletico Paranaense-PR
Carlos Eduardo Santos,Biro,Athletico Paranaense-PR
Christian Roberto Alves Cardoso,Christian,Athletico Paranaense-PR
Daniel Sergio Martins,Danielzinho,Athletico Paranaense-PR
Eduardo Kogitzki Anastacio,Dudu,Athletico Paranaense-PR
Emersonn Correia da Silva,Emersonn,Athletico Paranaense-PR
Erick Luis Conrado Carvalho,Erick,Athletico Paranaense-PR
Felipe Chiqueti Bandeira,Chiqueti,Athletico Paranaense-PR
Fernando Augusto Pereira Bueno Junior,Fernando,Athletico Paranaense-PR
Fernando Luiz Roza,Fernandinho,Athletico Paranaense-PR
Fernando Nava Ortega,Fernando Nava,Athletico Paranaense-PR
Gabriel Roberto Pereira,Gabriel Pereira,Athletico Paranaense-PR
Hugo Moura Arruda da Silva,Hugo Moura,Athletico Paranaense-PR
João Victor Machado Cruz,João Cruz,Athletico Paranaense-PR
Joao Vitor Tavares da Mota,Joao Vitor,Athletico Paranaense-PR
Jose Ivaldo Almeida Silva,Ze Ivaldo,Time nao encontrado
Julimar Silva Oliveira Junior,Julimar,Mirassol-SP
Kaique Rocha Lima,Kaique,Athletico Paranaense-PR
Khellven Douglas Silva Oliveira,Khellven,Time nao encontrado
Leandro Filipe de Almeida Dornelles,Filipe,Athletico Paranaense-PR
Leonardo Ataide de Oliveira Siqueira,Ataide,Athletico Paranaense-PR
Leonardo Cittadini,Cittadini,Bahia-BA
Leonardo Derik Dias Goncalves,Leonardo Derik,Athletico Paranaense-PR
Leonardo Estigarribia Ferreira,Dourado,Athletico Paranaense-PR
Leonardo Matias Baiersdorf Linck,Leo Linck,Athletico Paranaense-PR
Lucas Angel Esquivel,Lucas Esquivel,Athletico Paranaense-PR
Lucas Belezi Barbosa,Lucas Belezi,Athletico Paranaense-PR
Lucca Prior Pimenta,Lucca,Athletico Paranaense-PR
Luciano Daniel Arriagada Garcia,Luciano Arriagada,Athletico Paranaense-PR
Luiz Fernando Salles de Castro,Sorriso,Athletico Paranaense-PR
Madson Ferreira dos Santos,Madson,Athletico Paranaense-PR
Marcelo Cirino da Silva,Marcelo Cirino,Time nao encontrado
Marcos Andre Paulino Maia,Marcão,Athletico Paranaense-PR
Matheus Felipe Santos Nascimento,Matheus Felipe,Athletico Paranaense-PR
Miguel David Terans Perez,David Terans,Time nao encontrado
